question,answer,Z-7e-Chapter,activate-exam,bloom-rating,instructor,qtr,ques-code,topic,0 ISSUES
307,B,  3,  2,  3,  inst1,  A16,  ML-189,  Empirical Formula,NA
308,B,  12,  1,  1,  inst1,  A17,  ML-213,NA,NA
309,B,  5,  Final,  3,  inst4,  A18,  ML-311,  Effusion,NA
310,E,  15,  Final,  3,  inst2,  A18,  ML-192,  Integrated Rate Law; Second-order,NA
311,B,  5,  Final,  3+,  inst2,  A18,  ML-124,  PV = nRT,NA
312,B,  5,  Final,  3,  inst2,  A17,  ML-549,  Mole Fraction; Partial Pressure,NA
313,D,  12,  1,  1,  inst2,  A18,  ML-223,NA,NA
314,B,  4,  2,  3+,  inst4,  A18,  ML-139,  Limiting Reactant; Precipitation Rxn; Solution Stoichiometry,NA
315,E,  13,  1,  2,  inst2,  A17,  ML-576,  Lewis Structures; VSEPR,NA
316,A,  4,  2,  3,  inst1,  A16,  ML-032,  Net Ionic Equation; Precipitation Rxn; Solubility Rules,NA
317,A,  12,  1,  1,  inst1,  A18,  ML-226,NA,NA
318,D,  12,  1,  1,  inst4,  A18,  ML-252,NA,NA
319,C,  5,  2,  3,  inst2,  A17,  ML-582,  Avogadro's Law; Gas Stoich,NA
320,C,  13,  1,  2,  inst1,  A17,  ML-118,  Molecular Polarity; VSEPR,NA
321,C,  15,  Final,  2,  inst1,  A16; A17; A18; A19,  ML-150,  Rate Expression,NA
322,B,  4,  2,  3,  inst1,  A16,  ML-229,  Molarity,NA
323,E,  5,  Final,  3,  inst2,  A17,  ML-599,  Gas Stoich; StP,NA
324,C,  3,  2,  2,  inst1,  A18,  ML-175,  Average Atomic Mass; Diagram; Isotopic Abandance,NA
325,B,  5,  Final,  3,  inst3,  W18,  ML-338,  KMT; urms,NA
326,C,  4,  2,  2,  inst1,  A18,  ML-270,  Oxidation State,NA
327,D,  12,  1,  3,  inst3,  W18,  ML-430,NA,NA
328,B,  5,  Final,  2,  inst1,  All,  ML-286,"  KMT; urms, mass dependence",NA
329,E,  15,  Final,  2,  inst1,  All,  ML-196,  Integrated Rate Law; Second-order,NA
330,B,  12,  1,  3,  inst1,  A18,  ML-234,NA,NA
331,B,  13,  1,  3,  inst3,  W19,  ML-321,  Formal Charge; Lewis Structures,NA
332,A,  15,  Final,  5,  inst2,  A18,  ML-099,  Method of Initial Rates,NA
333,E,  5,  Final,  3,  inst2,  A17,  ML-591,  Charles's Law,NA
334,A,  4,  2,  3,  inst1,  A17,  ML-081,  Interpret Chemical Formula; Molarity,NA
335,B,  4,  2,  3,  inst4,  A18,  ML-247,  Dilution,NA
336,A,  15,  Final,  3,  inst1,  A16; A17; A18; A19,  ML-022,  Integrated Rate Law; Second-order,NA
337,C,  15,  Final,  2,  inst3,  W19,  ML-403,  Collision Thy; Reaction Mechanisms,NA
338,D,  4,  2,  3+,  inst1,  A18,  ML-160,  Limiting Reactant; Precipitation Rxn; Solubility Rules; Solution Stoichiometry,NA
339,E,  5,  Final,  3,  inst2,  A17,  ML-627,  Gas Stoich; Partial Pressure,NA
340,D,  5,  2,  3,  inst2,  A17,  ML-579,  Charles's Law,NA
341,A,  12,  1,  1,  inst2,  A18,  ML-024,NA,NA
342,A,  5,  Final,  3,  inst3,  W18,  ML-490,  Partial Pressure,  There doesn't seem to be enough information provided
343,C,  5,  Final,  3+,  inst3,  W19,  ML-364,  Gas Stoich; Partial Pressure,NA
344,D,  12,  1,  1,  inst3,  W18,  ML-448,NA,NA
345,A,  4,  2,  3,  inst3,  W18,  ML-357,  Macro to micro; Molarity,NA
346,D,  5,  Final,  3,  inst3,  W18,  ML-412,  Effusion,NA
347,C,  15,  Final,  2,  inst1,  All,  ML-188,  Collision Thy; Reaction Mechanisms,NA
348,E,  5,  2,  2,  inst2,  A17,  ML-616,  Boyle's Law,NA
349,A,  12,  1,  3,  inst1,  A17,  ML-298,NA,NA
350,C,  13,  1,  1,  inst2,  A17,  ML-597,  atomic structrue,NA
351,D,  15,  2,  5,  inst1,  A16,  ML-147,  Method of Initial Rates,  WHY DOES THIS HAVE 5 FOR BLOOM RATING?
352,C,  12,  1,  2,  inst2,  A18,  ML-076,NA,NA
353,D,  15,  Final,  2,  inst2,  A18,  ML-041,  Differential Rate Law,NA
354,A,  3,  2,  3,  inst4,  A18,  ML-168,  Combustion Analysis; Empirical Formula,NA
355,C,  12,  1,  1,  inst2,  A17,  ML-554,NA,NA
356,C,  13,  1,  2,  inst3,  W19,  ML-452,  Bond Energy; Bond Length; Bonding; Diagram,NA
357,D,  12,  1,  3+,  inst1,  A17,  ML-309,NA,NA
358,B,  12,  1,  3+,  inst2,  A18,  ML-084,NA,NA
359,E,  15,  Final,  2,  inst2,  A17,  ML-596,  Method of Initial Rates,NA
360,D,  3,  2,  3,  inst3,  W19,  ML-379,  Moles to moles; Percent Yield; Stoichiometry,NA
361,E,  3,  2,  2,  inst4,  A18,  ML-274,  Inorganic Nomenclature; Percent Composition,NA
362,C,  5,  Final,  3+,  inst2,  A18,  ML-013,  Gas Stoich; Mole Fraction,NA
363,B,  13,  1,  2,  inst1,  A17,  ML-174,  Lewis Structures,NA
364,C,  12,  1,  2,  inst4,  A18,  ML-191,NA,NA
365,B,  12,  1,  1,  inst3,  W18,  ML-459,NA,NA
366,B,  4,  2,  2,  inst3,  W19,  ML-402,  Solubility Rules,NA
367,A,  4,  2,  3,  inst2,  A18,  ML-197,  Neutralization; Solution Stoichiometry; acid-Base Rxn,NA
368,A,  15,  Final,  2,  inst1,  All,  ML-241,  First-order; Half-life,NA
369,B,  12,  1,  3,  inst2,  A18,  ML-262,NA,NA
370,B,  4,  2,  2,  inst2,  A18,  ML-091,  Precipitation Rxn; Solubility Rules,NA
371,E,  4,  2,  3,  inst1,  A17,  ML-207,  Interpret Chemical Formula; Molarity,NA
372,D,  5,  2,  3,  inst2,  A17,  ML-559,  Gas Density,NA
373,B,  13,  1,  2,  inst3,  W18,  ML-328,  Bond Energy; Bond Length; Bonding; Diagram,NA
374,B,  4,  2,  3,  inst2,  A18,  ML-030,  Dilution (backwards); Molarity,NA
375,B,  12,  1,  1,  inst3,  W19,  ML-505,NA,NA
376,B,  13,  1,  2,  inst1,  A18,  ML-096,  Formal Charge; Lewis Structures,NA
377,A,  3,  2,  3,  inst3,  W19,  ML-373,  Limiting Reactant; Moles to mass; Stoichiometry,NA
378,B,  5,  2,  3,  inst2,  A18,  ML-242,  Mole Fraction; Partial Pressure,NA
379,D,  12,  1,  2,  inst4,  A18,  ML-025,NA,NA
380,A,  12,  1,  1,  inst2,  A18,  ML-306,NA,NA
381,A,  15,  Final,  2,  inst3,  W19,  ML-391,  First-order; Half-life,NA
382,C,  15,  Final,  1,  inst4,  A18,  ML-009,  Catalysts,NA
383,C,  5,  Final,  3,  inst2,  A18,  ML-031,  Gas Density; KMT,NA
384,A,  5,  Final,  3+,  inst3,  W18,  ML-324,  Gas Stoich,NA
385,D,  12,  1,  2,  inst3,  W1,  ML-526,NA,NA
386,B,  15,  Final,  5,  inst3,  W19,  ML-363,  Reaction Mechanisms,NA
387,B,  4,  2,  3,  inst1,  A16,  ML-246,  Inorganic Nomenclature; Interpret Chemical Formula; Molarity,NA
388,E,  15,  Final,  3,  inst2,  A17,  ML-551,  First-order; Half-life; Integrated Rate Law,NA
389,B,  13,  1,  2,  inst2,  A18,  ML-273,  Lewis Structures; Resonance Structures,  THIS QUESTION HAD A FORMATTING PROBLEM THAT MADE NO3- APPEAR AS NO- IN THE LIST THE THAT THE BLOOMERS HAD. IS THE BLOOM RATING STILL VALID?
390,D,  13,  1,  2,  inst2,  A17,  ML-543,  Formal Charge; Lewis Structures,NA
391,A,  15,  3,  2,  inst4,  A18,  ML-019,  Integrated Rate Law; Zero-order,NA
392,A,  13,  1,  2,  inst2,  A18,  ML-210,  Lewis Structures; VSEPR; Valence-shell,NA
393,A,  15,  Final,  5,  inst2,  A18,  ML-120,  Method of Initial Rates,NA
394,A,  13,  1,  2,  inst1,  A16,  ML-133,  Lewis Structures; VSEPR,NA
395,D,  4,  2,  3,  inst2,  A17,  ML-601,  Balance Chemical Rxn; Limiting Reactant; Redox Rxn; Solution Stoichiometry,NA
396,C,  12,  1,  1,  inst2,  A17,  ML-539,NA,NA
397,A,  5,  2,  3,  inst2,  A18,  ML-292,  PV = nRT; STP,NA
398,C,  12,  1,  3,  inst3,  W18,  ML-398,NA,NA
399,B,  4,  2,  3,  inst2,  A17,  ML-567,  Balance Chemical Rxn; Redox Rxn,NA
400,B,  15,  Final,  5,  inst3,  W18,  ML-401,  Method of Initial Rates,NA
401,B,  15,  Final,  5,  inst2,  A18,  ML-021,  Reaction Mechanisms; Steady-State Approx,NA
402,C,  02,  1,  1,  inst3,  W18,  ML-349,NA,NA
403,B,  12,  1,  2,  inst1,  A16,  ML-291,NA,NA
404,C,  15,  Final,  3,  inst2,  A18,  ML-130,  Rate Expression,NA
